41.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
Execute Anonymous: for (ChildRelationship relationship : SObjectType.User.getChildRelationships())
Execute Anonymous:     if (relationship.getChildSObject() == Opportunity.sObjectType)
Execute Anonymous:         system.debug(relationship.getRelationshipName());
19:38:14.1 (1175523)|USER_INFO|[EXTERNAL]|0050O00000782Ui|bchernichko@curious-raccoon-209964.com|Moscow Standard Time|GMT+03:00
19:38:14.1 (1357829)|EXECUTION_STARTED
19:38:14.1 (1363292)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
19:38:14.1 (1605010)|HEAP_ALLOCATE|[72]|Bytes:3
19:38:14.1 (1673653)|HEAP_ALLOCATE|[77]|Bytes:152
19:38:14.1 (1693915)|HEAP_ALLOCATE|[342]|Bytes:408
19:38:14.1 (1714142)|HEAP_ALLOCATE|[355]|Bytes:408
19:38:14.1 (1733442)|HEAP_ALLOCATE|[467]|Bytes:48
19:38:14.1 (1796974)|HEAP_ALLOCATE|[139]|Bytes:6
19:38:14.1 (1830619)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
19:38:14.1 (1987145)|STATEMENT_EXECUTE|[1]
19:38:14.1 (1993940)|HEAP_ALLOCATE|[1]|Bytes:4
19:38:14.1 (2035256)|HEAP_ALLOCATE|[50]|Bytes:5
19:38:14.1 (2062636)|HEAP_ALLOCATE|[56]|Bytes:5
19:38:14.1 (2074776)|HEAP_ALLOCATE|[64]|Bytes:7
19:38:14.1 (2345867)|HEAP_ALLOCATE|[1]|Bytes:4
19:38:14.1 (111560908)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2728
19:38:14.1 (111720853)|HEAP_ALLOCATE|[1]|Bytes:2728
19:38:14.1 (111984298)|HEAP_ALLOCATE|[1]|Bytes:5
19:38:14.1 (112043931)|HEAP_ALLOCATE|[1]|Bytes:4
19:38:14.1 (112074195)|VARIABLE_SCOPE_BEGIN|[1]|relationship|Schema.ChildRelationship|true|false
19:38:14.1 (112464910)|VARIABLE_ASSIGNMENT|[1]|relationship|"common.api.soap.wsdl.ChildRelationship@c000baa1"|0x71490134
19:38:14.1 (112510984)|HEAP_ALLOCATE|[2]|Bytes:11
19:38:14.1 (112667016)|STATEMENT_EXECUTE|[2]
19:38:14.1 (112682075)|HEAP_ALLOCATE|[1]|Bytes:5
19:38:14.1 (112700635)|HEAP_ALLOCATE|[1]|Bytes:4
19:38:14.1 (112720737)|VARIABLE_SCOPE_BEGIN|[1]|relationship|Schema.ChildRelationship|true|false
19:38:14.1 (112784549)|VARIABLE_ASSIGNMENT|[1]|relationship|"common.api.soap.wsdl.ChildRelationship@c000bca1"|0x6bf19e07
19:38:14.1 (112846110)|STATEMENT_EXECUTE|[2]
19:38:14.1 (112857986)|HEAP_ALLOCATE|[1]|Bytes:5
19:38:14.1 (112874991)|HEAP_ALLOCATE|[1]|Bytes:4
19:38:14.1 (112894035)|VARIABLE_SCOPE_BEGIN|[1]|relationship|Schema.ChildRelationship|true|false
19:38:14.1 (112953870)|VARIABLE_ASSIGNMENT|[1]|relationship|"common.api.soap.wsdl.ChildRelationship@c000b4a1"|0x70d356d5
19:38:14.1 (113012341)|STATEMENT_EXECUTE|[2]
19:38:14.1 (113024898)|HEAP_ALLOCATE|[1]|Bytes:5
19:38:14.1 (113041572)|HEAP_ALLOCATE|[1]|Bytes:4
19:38:14.1 (113060351)|VARIABLE_SCOPE_BEGIN|[1]|relationship|Schema.ChildRelationship|true|false
19:38:14.1 (113119653)|VARIABLE_ASSIGNMENT|[1]|relationship|"common.api.soap.wsdl.ChildRelationship@c0009e01"|0x5cd8ca2
19:38:14.1 (113178214)|STATEMENT_EXECUTE|[2]
19:38:14.1 (113189565)|HEAP_ALLOCATE|[1]|Bytes:5
19:38:14.1 (113205955)|HEAP_ALLOCATE|[1]|Bytes:4
