41.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
Execute Anonymous: for (ChildRelationship relationship : SObjectType.User.getChildRelationships())
Execute Anonymous:     if (relationship != null) {
Execute Anonymous:         system.debug(relationship.getRelationshipName());}
19:39:19.1 (1182532)|USER_INFO|[EXTERNAL]|0050O00000782Ui|bchernichko@curious-raccoon-209964.com|Moscow Standard Time|GMT+03:00
19:39:19.1 (1209995)|EXECUTION_STARTED
19:39:19.1 (1214860)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
19:39:19.1 (1440368)|HEAP_ALLOCATE|[72]|Bytes:3
19:39:19.1 (1480448)|HEAP_ALLOCATE|[77]|Bytes:152
19:39:19.1 (1496351)|HEAP_ALLOCATE|[342]|Bytes:408
19:39:19.1 (1512414)|HEAP_ALLOCATE|[355]|Bytes:408
19:39:19.1 (1524724)|HEAP_ALLOCATE|[467]|Bytes:48
19:39:19.1 (1552683)|HEAP_ALLOCATE|[139]|Bytes:6
19:39:19.1 (1578411)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
19:39:19.1 (1707503)|STATEMENT_EXECUTE|[1]
19:39:19.1 (1711963)|HEAP_ALLOCATE|[1]|Bytes:4
19:39:19.1 (1746576)|HEAP_ALLOCATE|[50]|Bytes:5
19:39:19.1 (1768888)|HEAP_ALLOCATE|[56]|Bytes:5
19:39:19.1 (1776190)|HEAP_ALLOCATE|[64]|Bytes:7
19:39:19.1 (2021064)|HEAP_ALLOCATE|[1]|Bytes:4
19:39:19.1 (75543361)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2728
19:39:19.1 (75762497)|HEAP_ALLOCATE|[1]|Bytes:2728
19:39:19.1 (76017800)|HEAP_ALLOCATE|[1]|Bytes:5
19:39:19.1 (76085416)|HEAP_ALLOCATE|[1]|Bytes:4
19:39:19.1 (76128796)|VARIABLE_SCOPE_BEGIN|[1]|relationship|Schema.ChildRelationship|true|false
19:39:19.1 (76382597)|VARIABLE_ASSIGNMENT|[1]|relationship|"common.api.soap.wsdl.ChildRelationship@c000baa1"|0x24425305
